,y,x,hr,spread,zScore,long entry,long exit,num units long,short entry,short exit,num units short,numUnits,spread pct ch,port rets,cum rets
0,50.01,19.0,-2.3389977728285074,5.569042316258354,,False,False,0.0,False,False,0.0,0.0,,,
1,51.42,19.0,-2.4258308546541403,5.329213761571339,,False,False,0.0,False,False,0.0,0.0,-0.0024595079574130227,-0.0,1.0
2,51.07,18.99,-2.462286264011878,4.311183846414444,-1.1359345338823292,False,False,0.0,False,False,0.0,0.0,-0.010406237703609197,-0.0,1.0
3,50.47,18.94,-2.4814821823759488,3.470727465799527,-0.9666811291707424,False,False,0.0,False,False,0.0,0.0,-0.008622782942388472,-0.0,1.0
4,52.0,18.97,-2.4994736891500122,4.584984116824273,0.7968458020125997,False,True,0.0,False,False,0.0,0.0,0.011208132304018622,0.0,1.0
5,52.38,19.9,-2.509056807973382,2.4497695213296993,-0.985121493296725,False,False,0.0,False,True,0.0,0.0,-0.020870000834762314,-0.0,1.0
6,52.49,20.95,-2.5069812795305313,-0.031257806164624924,-1.0240134075616742,False,False,0.0,False,False,0.0,0.0,-0.023626298544808754,-0.0,1.0
7,53.6,21.88,-2.4962305362989676,-1.0175241342214107,-0.8309471377213095,False,False,0.0,False,False,0.0,0.0,-0.009113739534768203,-0.0,1.0
8,54.45,21.85,-2.484072701398354,0.1730114744459641,0.7303010384255878,False,True,0.0,False,False,0.0,0.0,0.010949770841740585,0.0,1.0
9,54.6,21.73,-2.473047789493413,0.8606715343081319,0.9000617365197655,False,False,0.0,False,False,0.0,0.0,0.006347280065335934,0.0,1.0
10,54.86,21.99,-2.46253529786987,0.7088487998415616,0.35432995198239825,False,False,0.0,False,False,0.0,0.0,-0.0013927266412204415,-0.0,1.0
11,54.9,21.95,-2.4532370775553836,1.051446147659334,1.0356696932966314,False,False,0.0,False,False,0.0,0.0,0.003150362332936885,0.0,1.0
12,54.45,22.84,-2.439947034242498,-1.2783902620986467,-1.1439446069691654,False,False,0.0,False,True,0.0,0.0,-0.02114603784113775,-0.0,1.0
13,53.2,22.9,-2.4225497422259807,-2.2763890969749525,-0.8443494871863001,False,False,0.0,False,False,0.0,0.0,-0.009183216733358372,-0.0,1.0
14,53.26,22.85,-2.4041778918323993,-1.6754648283703304,0.1352351822533939,False,True,0.0,False,False,0.0,0.0,0.005554061527050731,0.0,1.0
15,53.74,22.89,-2.3869251878806033,-0.896717550587006,1.0400869475379453,False,False,0.0,False,False,0.0,0.0,0.007185558811742277,0.0,1.0
16,53.44,23.15,-2.369490465970586,-1.413704287219062,-0.21468345432338742,False,False,0.0,False,True,0.0,0.0,-0.0047739315968072515,-0.0,1.0
17,52.32,22.3,-2.3544222865117352,-0.1836169892116999,1.0487102582822345,False,True,0.0,False,False,0.0,0.0,0.011734829739122252,0.0,1.0
18,53.7,22.13,-2.344448473107568,1.8173552901295267,1.0694303833732695,False,False,0.0,False,False,0.0,0.0,0.01895171583208281,0.0,1.0
19,53.5,22.12,-2.3374177246798147,1.7963199300824968,0.5681742143798819,False,False,0.0,False,False,0.0,0.0,-0.0001999488994401142,-0.0,1.0
20,52.96,21.68,-2.3331644780828875,2.3769941151630007,1.1541115862402602,False,False,0.0,False,False,0.0,0.0,0.0056080483671330115,0.0,1.0
21,52.59,21.02,-2.3326334831065694,3.5580441850999165,1.0926476127823508,False,False,0.0,False,False,0.0,0.0,0.01162199704253032,0.0,1.0
22,53.45,21.0,-2.3357483094463167,4.399285501627354,0.9395784013239078,False,False,0.0,False,False,0.0,0.0,0.008207175146479524,0.0,1.0
23,53.5,21.53,-2.3387757927214388,3.1461571827074195,-0.8689530475348347,False,False,0.0,False,True,0.0,0.0,-0.012066268179642913,-0.0,1.0
24,53.41,21.25,-2.342595862559061,3.6298379206199556,-0.15072772602247125,False,False,0.0,False,False,0.0,0.0,0.004687275687584054,0.0,1.0
25,52.38,21.43,-2.344261181555655,2.1424828792623174,-1.0944636312086116,False,False,0.0,False,False,0.0,0.0,-0.01449416321004577,-0.0,1.0
26,52.31,20.98,-2.346317059134216,3.084268099364145,0.17552895215433287,False,True,0.0,False,False,0.0,0.0,0.00927540681957629,0.0,1.0
27,49.88,20.49,-2.346358174454538,1.8031210054265259,-0.8138027046104167,False,False,0.0,False,True,0.0,0.0,-0.013078684285241376,-0.0,1.0
28,51.25,20.6,-2.3471378399173557,2.8989604977024683,0.4383431752211081,False,True,0.0,False,False,0.0,0.0,0.011002289712555301,0.0,1.0
29,52.6,21.5,-2.3470231742961585,2.139001752632595,-0.2517847301045854,False,False,0.0,False,True,0.0,0.0,-0.007373873317681414,-0.0,1.0
30,51.96,21.3,-2.3461178590345337,1.98768960256443,-0.7253048932696248,False,False,0.0,False,False,0.0,0.0,-0.0014844375593783424,-0.0,1.0
31,52.02,21.5,-2.3441083876866546,1.6216696647369275,-1.1070063828267052,False,False,0.0,False,False,0.0,0.0,-0.0035737737241892933,-0.0,1.0
32,52.17,21.5,-2.3418028024004873,1.821239748389523,0.06024284538208306,False,True,0.0,False,False,0.0,0.0,0.0019466689136972907,0.0,1.0
33,51.9,21.5,-2.338960789543016,1.612343024825158,-0.61641680935346,False,False,0.0,False,True,0.0,0.0,-0.0020442461423214138,-0.0,1.0
34,52.25,21.55,-2.336313035590436,1.9024540830261003,0.827013424975304,False,True,0.0,False,False,0.0,0.0,0.0028276607944961174,0.0,1.0
35,51.37,20.75,-2.335536990840953,2.9076074400502208,1.1281015852663026,False,False,0.0,False,False,0.0,0.0,0.01006840897277426,0.0,1.0
