Period,Dependente,Independente,Dickey-Fuller,ADF,Beta,HalfLife,Hurst,Corr,Signal,SignalStr,PeriodQt,PeriodStr
250,CPFE3,ENGI11,0.00011047149107811763,99,0.5652381019461271,5,0.2229626348359744,0.9549536846566544,1.2304350989201045,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,AZUL4,BBSE3,0.0006377246635226559,99,3.6490690992902137,6,0.2354550608209663,0.9605019071703635,1.1507092018711869,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,CCRO3,LREN3,0.022935984750684958,95,0.29689403531864045,6,0.26336524345995205,0.9369314461671036,1.317102101494661,Short/Long,8,"120,140,160,180,200,220,240,250"
250,CYRE3,LREN3,0.01794952689109634,95,0.7939781386088443,6,0.2685931483702722,0.9640339669143556,1.5396231799061493,Short/Long,7,"100,120,140,160,180,240,250"
250,B3SA3,BPAC11,0.03866452641053075,95,0.2806767867007995,8,0.3421319901015501,0.8243966184966535,1.0700838063251479,Short/Long,4,"100,200,240,250"
250,B3SA3,SBSP3,0.027073984981839903,95,0.4940469586231362,8,0.244627167311738,0.8150419944206808,1.3385656687903793,Short/Long,3,"220,240,250"
250,LREN3,USIM5,0.034320867562120175,95,3.7680213919254495,8,0.3010377123357557,0.9149202869566944,1.0000321618244925,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,BRAP4,TAEE11,0.017302082856613353,95,2.040366109144757,8,0.31250088532406195,0.809719311065926,1.0079750632059754,Short/Long,6,"160,180,200,220,240,250"
250,RENT3,SBSP3,0.002739621123078767,99,0.8378534792673944,8,0.1818991235844337,0.8981334304127517,1.1074501038171167,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,IGTA3,USIM5,0.027852007311523503,95,4.342554159404793,8,0.2874633078682174,0.9353669800132098,1.4152675965584256,Long/Short,4,"200,220,240,250"
250,HYPE3,VIVT4,0.032312181278271894,95,0.5391612210348156,9,0.3129225993130477,0.6870031615209071,1.031236357285063,Short/Long,5,"180,200,220,240,250"
250,SBSP3,TAEE11,0.01374175290813863,95,4.275790484659908,9,0.31987891957696984,0.8540370109550081,1.0488085966167762,Short/Long,4,"200,220,240,250"
250,HYPE3,LREN3,0.033200950550425906,95,0.2897012139211849,9,0.2299700538994452,0.7127242379775189,1.045985083532202,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,BBDC3,BBSE3,0.01714339797924796,95,1.3580609907114545,9,0.2769543511925388,0.9450912458278556,1.092257359842158,Long/Short,8,"120,140,160,180,200,220,240,250"
250,HYPE3,TOTS3,0.040825819064550295,95,0.10623717686664017,9,0.28224117780063396,0.6070377915260574,1.1796094349990385,Short/Long,4,"200,220,240,250"
250,HYPE3,MULT3,0.03785744065810185,95,0.4252123612292947,10,0.28375372825090805,0.684680210042751,1.1053101936072265,Short/Long,6,"160,180,200,220,240,250"
250,LREN3,MRVE3,0.046347393371946065,95,2.322392799089718,10,0.2754258476442546,0.8899474102944767,1.0782228303504715,Long/Short,3,"220,240,250"
250,ENGI11,MULT3,0.02591268990261893,95,0.9211804923184947,10,0.4060156589829037,0.8571296145442014,1.0950779441789549,Short/Long,3,"140,240,250"
