Period,Dependent,Independent,Dickey-Fuller,ADF,Beta,Std,HalfLife,SignalStr,Corr,PeriodQt,PeriodStr
100,CVCB3,HAPV3,-3.7810037700883896,99,0.6875646505186773,2.272981100952314,3,Long/Short,0.32798789779806936,9,"100,120,140,160,180,200,220,240,250"
100,HGTX3,VALE3,-3.649756719120315,99,-0.19774890496194006,2.3173168512736813,3,Short/Long,0.010988933169040295,9,"100,120,140,160,180,200,220,240,250"
100,GNDI3,UGPA3,-4.5098744541575595,99,1.6034588995672985,2.198481565741253,2,Short/Long,0.32576209374372,9,"100,120,140,160,180,200,220,240,250"
100,IGTA3,LREN3,-5.868259042419712,99,0.7520455687547382,2.347399509985521,1,Long/Short,0.7276359163019607,9,"100,120,140,160,180,200,220,240,250"
100,B3SA3,ELET3,-4.613901462655903,99,1.2392962235785536,2.2548796572125966,2,Long/Short,0.5369531653761834,9,"100,120,140,160,180,200,220,240,250"
100,EGIE3,EMBR3,-5.2530189099437266,99,0.6739370579911619,2.117169404780883,2,Long/Short,0.3245468788677196,9,"100,120,140,160,180,200,220,240,250"
