Date,FLRY3.SA,LREN3.SA
2019-10-01,25.485851287841797,49.76457214355469
2019-10-02,24.2750301361084,47.81301498413086
2019-10-03,24.411733627319336,48.07913589477539
2019-10-04,24.411733627319336,48.25654983520508
2019-10-07,23.63055992126465,47.70460510253906
2019-10-08,23.484086990356445,47.724308013916016
2019-10-09,23.640323638916016,48.226985931396484
2019-10-10,23.640323638916016,47.891868591308594
2019-10-11,24.021148681640625,49.567447662353516
2019-10-14,24.177383422851562,50.001121520996094
2019-10-15,24.021148681640625,50.562931060791016
2019-10-16,24.411733627319336,51.08531951904297
2019-10-17,24.411733627319336,51.026180267333984
2019-10-18,24.157854080200195,50.562931060791016
2019-10-21,24.20667839050293,51.34157943725586
2019-10-22,24.021148681640625,51.16416931152344
2019-10-23,24.099266052246094,50.3559455871582
2019-10-24,23.933265686035156,48.562095642089844
2019-10-25,24.323854446411133,49.7744255065918
2019-10-28,24.812088012695312,49.33089065551758
2019-10-29,24.851146697998047,49.48859405517578
2019-10-30,24.939029693603516,49.557586669921875
2019-10-31,24.851146697998047,50.02083206176758
2019-11-01,24.92926597595215,50.9276123046875
2019-11-04,24.90973472595215,50.316524505615234
2019-11-05,25.095264434814453,48.808502197265625
2019-11-06,25.241735458374023,49.6660041809082
2019-11-07,25.68114471435547,49.46887969970703
2019-11-08,25.251501083374023,48.217124938964844
2019-11-11,25.46632194519043,49.823707580566406
2019-11-12,25.134323120117188,48.79865264892578
2019-11-13,25.417499542236328,48.581809997558594
2019-11-14,26.364673614501953,50.957183837890625
2019-11-18,26.286556243896484,50.336238861083984
2019-11-19,25.98385238647461,49.8532829284668
2019-11-21,27.097026824951172,50.32638168334961
2019-11-22,27.126319885253906,50.57278823852539
2019-11-25,27.80008316040039,50.562931060791016
2019-11-26,27.878202438354492,50.277095794677734
2019-11-27,27.53643798828125,50.42494201660156
2019-11-28,27.321613311767578,51.026180267333984
2019-11-29,27.829378128051758,51.055747985839844
2019-12-02,27.80008316040039,51.64712905883789
2019-12-03,27.839143753051758,51.8836784362793
2019-12-04,27.81961441040039,52.13994598388672
2019-12-05,27.643848419189453,52.21879196166992
2019-12-06,28.200435638427734,53.38184356689453
2019-12-09,28.366436004638672,52.13994598388672
2019-12-10,27.77079200744629,51.952674865722656
2019-12-11,27.829378128051758,52.672183990478516
2019-12-12,27.77079200744629,53.27342224121094
2019-12-13,28.1027889251709,53.47054672241211
2019-12-16,28.268789291381836,53.66767120361328
2019-12-17,28.132081985473633,53.362125396728516
2019-12-18,29.147611618041992,54.30833435058594
2019-12-19,29.684669494628906,54.840576171875
2019-12-20,29.128082275390625,54.909568786621094
2019-12-23,29.294082641601562,55.29396057128906
2019-12-26,29.3917293548584,56.130226135253906
2019-12-27,29.684669494628906,55.370235443115234
2019-12-30,29.811613082885742,55.459068298339844
2020-01-02,30.290081024169922,56.75202560424805
2020-01-03,29.50849151611328,56.35723114013672
2020-01-06,30.380712509155273,56.30788040161133
2020-01-07,30.694318771362305,56.27827072143555
2020-01-08,30.508113861083984,56.64345932006836
2020-01-09,31.076526641845703,56.20918273925781
2020-01-10,30.5277156829834,56.3868408203125
2020-01-13,30.380712509155273,57.61071014404297
2020-01-14,30.83152198791504,56.88033676147461
2020-01-15,30.606117248535156,56.505279541015625
2020-01-16,30.615917205810547,56.959293365478516
2020-01-17,30.762920379638672,58.44965744018555
2020-01-20,31.586139678955078,58.72601318359375
2020-01-21,31.507740020751953,58.18316650390625
2020-01-22,32.21335220336914,59.07145690917969
2020-01-23,31.605741500854492,60.078189849853516
2020-01-24,31.713542938232422,59.387290954589844
2020-01-27,31.507740020751953,58.114078521728516
2020-01-28,31.850746154785156,58.893798828125
2020-01-29,30.53751564025879,59.21950912475586
2020-01-30,31.02752685546875,58.42991256713867
2020-01-31,30.380712509155273,56.70267868041992
2020-02-03,31.076526641845703,57.028385162353516
2020-02-04,32.00754928588867,56.15983581542969
2020-02-05,32.83076858520508,56.4559326171875
2020-02-06,31.458736419677734,54.50168991088867
2020-02-07,30.576717376708984,54.84713363647461
2020-02-10,30.312110900878906,54.24506759643555
2020-02-11,30.54731559753418,55.75516891479492
2020-02-12,31.154930114746094,55.9130859375
2020-02-13,30.06710433959961,56.56449890136719
2020-02-14,30.37091064453125,55.7156867980957
2020-02-17,30.45911407470703,56.4559326171875
2020-02-18,30.331710815429688,56.11048126220703
2020-02-19,31.350934982299805,55.774906158447266
2020-02-20,30.82172393798828,54.80765151977539
2020-02-21,30.625717163085938,55.271541595458984
2020-02-27,28.56999969482422,50.38593292236328
2020-02-28,29.760000228881836,52.60666275024414
2020-03-02,30.899999618530273,52.31056594848633
2020-03-03,30.6200008392334,52.63627624511719
2020-03-04,31.010000228881836,53.84040451049805
2020-03-05,29.989999771118164,51.12617492675781
2020-03-06,29.559999465942383,50.119441986083984
2020-03-09,27.010000228881836,45.4016227722168
2020-03-10,27.270000457763672,49.59634017944336
2020-03-11,26.200000762939453,46.477439880371094
2020-03-12,22.799999237060547,42.64791488647461
2020-03-13,23.600000381469727,46.17147445678711
2020-03-16,20.0,36.41999816894531
2020-03-17,21.110000610351562,38.038665771484375
2020-03-18,18.139999389648438,31.583736419677734
2020-03-19,19.5,36.3213005065918
2020-03-20,19.239999771118164,34.030487060546875
2020-03-23,18.760000228881836,29.66912269592285
2020-03-24,19.440000534057617,32.62614822387695
2020-03-25,20.079999923706055,36.394126892089844
2020-03-26,20.899999618530273,38.26327896118164
2020-03-27,19.700000762939453,35.60294723510742
2020-03-30,20.649999618530273,35.29636764526367
