Date,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,PETR3,PETR4,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMP3,TOTS3,UGPA3,USIM5,VALE3,VIVT4,VVAR3,WEGE3
2019-05-02,17.490623474121094,34.599998474121094,32.76557540893555,47.285667419433594,29.430633544921875,33.090145111083984,25.347620010375977,8.505499839782715,39.80392074584961,29.671920776367188,22.948633193969727,30.760000228881836,44.81755065917969,11.411739349365234,36.373600006103516,10.981579780578613,7.195577144622803,14.00434398651123,9.4610595703125,26.418020248413086,21.12605857849121,44.7864875793457,12.938499450683594,56.79922866821289,15.483903884887695,8.050000190734863,40.68009567260742,28.935226440429688,30.605409622192383,19.709999084472656,16.985877990722656,42.0,15.801970481872559,19.518712997436523,13.791040420532227,35.29823303222656,6.590423107147217,22.559999465942383,30.144283294677734,30.474775314331055,26.81256675720215,36.928619384765625,31.410606384277344,11.329943656921387,32.770484924316406,19.078845977783203,15.86685848236084,15.282410621643066,40.76030731201172,23.677095413208008,7.159999847412109,12.77834415435791,22.93915557861328,27.94283103942871,25.886911392211914,16.705768585205078,68.51045989990234,17.540000915527344,33.8477897644043,42.9312744140625,44.82429122924805,29.827518463134766,41.939998626708984,24.696022033691406,11.181540489196777,43.758384704589844,20.95353889465332,8.36153793334961,47.67665100097656,41.943416595458984,4.139999866485596,18.47921371459961
2019-05-03,17.461389541625977,36.08000183105469,32.92988967895508,47.56108474731445,30.02264976501465,33.44096755981445,24.999784469604492,8.623499870300293,39.511600494384766,30.749473571777344,21.97557830810547,30.719999313354492,44.827274322509766,11.910767555236816,37.67829895019531,11.120821952819824,7.089901447296143,13.738499641418457,9.352084159851074,26.27613067626953,21.19516372680664,44.24772644042969,13.975321769714355,56.30402755737305,15.211938858032227,8.25,39.9021110534668,28.87252426147461,30.73991584777832,19.510000228881836,17.014999389648438,41.869998931884766,15.614919662475586,19.983444213867188,14.017607688903809,35.17864990234375,6.718106746673584,23.690000534057617,30.273401260375977,30.667957305908203,26.88917350769043,37.89912033081055,32.582401275634766,11.159284591674805,32.45280075073242,20.056245803833008,15.8003511428833,15.419892311096191,40.505306243896484,24.36101531982422,7.110000133514404,12.984882354736328,23.785470962524414,27.990177154541016,26.003128051757812,16.754331588745117,68.66910552978516,17.649999618530273,33.74430465698242,42.52375411987305,45.172515869140625,28.755285263061523,41.9900016784668,24.46259880065918,11.113773345947266,42.21825408935547,20.699790954589844,8.777141571044922,49.098968505859375,41.95254898071289,4.519999980926514,18.36107063293457
2019-05-06,17.597806930541992,35.0,32.57227325439453,46.88679504394531,29.048070907592773,32.5389289855957,25.436811447143555,8.721819877624512,39.26800537109375,30.1323299407959,21.994848251342773,31.049999237060547,43.93247985839844,11.713038444519043,38.35049819946289,11.408589363098145,7.2916460037231445,13.72948169708252,9.262921333312988,26.400285720825195,20.968107223510742,43.92461013793945,13.9166841506958,55.68998336791992,15.239134788513184,8.539999961853027,39.986473083496094,29.249086380004883,30.79372215270996,19.299999237060547,17.053821563720703,42.06999969482422,15.472681999206543,19.731712341308594,13.86984634399414,34.67040252685547,6.6297101974487305,23.299999237060547,30.38265609741211,30.812847137451172,27.157299041748047,37.592124938964844,32.06153869628906,10.846405029296875,31.74039649963379,19.841217041015625,15.467812538146973,15.302023887634277,40.18165588378906,24.852680206298828,7.0,13.00284194946289,23.696903228759766,27.97123908996582,25.92565155029297,16.550365447998047,67.96517181396484,17.610000610351562,33.23585891723633,41.69925308227539,44.921016693115234,29.70079803466797,41.33000183105469,24.383621215820312,11.06536865234375,41.830806732177734,20.74859046936035,8.68808364868164,48.37806701660156,41.577964782714844,4.559999942779541,18.075565338134766
2019-05-07,17.198299407958984,35.279998779296875,32.533607482910156,47.000762939453125,26.03748321533203,29.39485740661621,24.59842872619629,8.554659843444824,39.073123931884766,30.34783935546875,22.765583038330078,31.049999237060547,42.86261749267578,11.392908096313477,36.65039825439453,11.325044631958008,7.205183506011963,13.63148307800293,9.16385269165039,26.51556968688965,20.533737182617188,43.63086700439453,13.858047485351562,56.05643081665039,15.393248558044434,8.279999732971191,39.64265441894531,29.150503158569336,30.533666610717773,19.200000762939453,17.112058639526367,42.349998474121094,15.509702682495117,19.547760009765625,14.007757186889648,34.301673889160156,6.600244522094727,23.5,32.52801513671875,30.455455780029297,27.54033851623535,37.443580627441406,32.38710021972656,10.846405029296875,31.384191513061523,19.323196411132812,15.33388614654541,14.81093692779541,40.4366569519043,23.852069854736328,6.820000171661377,13.290197372436523,23.40167808532715,27.668231964111328,25.51889991760254,16.77375602722168,67.44959259033203,17.600000381469727,32.981689453125,41.414939880371094,46.5267219543457,30.509845733642578,40.9900016784668,24.49637794494629,11.10409164428711,40.63840866088867,20.885221481323242,8.371434211730957,48.41703796386719,41.88859176635742,4.71999979019165,17.858972549438477
2019-05-08,17.461389541625977,37.0,33.20051574707031,48.0454216003418,29.313003540039062,33.003910064697266,24.464645385742188,8.564499855041504,38.829524993896484,29.956003189086914,23.025705337524414,30.389999389648438,42.55138397216797,11.47764778137207,36.96670150756836,11.569594383239746,7.5126051902771,13.690282821655273,9.312456130981445,26.77274513244629,20.928619384765625,44.3260612487793,13.946003913879395,58.08674621582031,15.511098861694336,8.350000381469727,39.59568786621094,29.50015640258789,30.69508171081543,19.18000030517578,16.927642822265625,42.529998779296875,15.550621032714844,20.03185272216797,14.283577919006348,33.87315368652344,6.718106746673584,24.520000457763672,34.345611572265625,31.295808792114258,28.019132614135742,38.622047424316406,32.38710021972656,10.941217422485352,31.74039649963379,19.704381942749023,15.276204109191895,15.02706241607666,41.3781852722168,24.01970100402832,6.75,13.406936645507812,23.91340446472168,28.61512565612793,26.50672721862793,17.201112747192383,68.5302963256836,17.6299991607666,34.55406188964844,42.26787567138672,46.623451232910156,30.782777786254883,41.279998779296875,24.797061920166016,10.600680351257324,39.247406005859375,21.20728302001953,8.490177154541016,47.735103607177734,41.797237396240234,4.53000020980835,18.321693420410156
2019-05-09,17.042394638061523,38.0,32.76557540893555,48.46329116821289,28.735830307006836,32.427330017089844,24.63410758972168,8.505499839782715,39.11210250854492,29.877634048461914,23.59412384033203,30.729999542236328,39.41960144042969,11.53414249420166,35.731201171875,11.531536102294922,7.3877153396606445,13.611884117126465,9.520499229431152,26.914634704589844,20.296812057495117,43.327327728271484,13.926457405090332,58.08674621582031,15.638017654418945,8.529999732971191,39.78356170654297,29.186296463012695,30.399160385131836,19.209999084472656,17.082942962646484,42.709999084472656,15.704549789428711,19.60584831237793,14.027458190917969,33.38483810424805,6.6297101974487305,24.84000015258789,35.30903625488281,31.15091896057129,27.60736656188965,38.126895904541016,32.38710021972656,10.893811225891113,31.345693588256836,20.32991600036621,15.843413352966309,15.46906852722168,40.30915451049805,23.076290130615234,6.5,14.008585929870605,23.8248348236084,27.800798416137695,25.9837589263916,17.45363998413086,67.75694274902344,17.350000381469727,34.1962890625,41.519187927246094,46.236534118652344,32.74203872680664,44.15999984741211,24.750080108642578,10.581318855285645,39.942955017089844,21.27560043334961,8.420910835266113,47.28697967529297,41.56883239746094,4.739999771118164,18.26262092590332
2019-05-10,16.857255935668945,38.09000015258789,32.18565368652344,47.63705062866211,28.442508697509766,32.13905334472656,25.06221580505371,8.279339790344238,40.68087387084961,30.553556442260742,23.07387924194336,29.8799991607666,38.95275115966797,11.487064361572266,33.40840148925781,11.75036907196045,7.243611812591553,13.5040864944458,10.005937576293945,27.26935577392578,19.743980407714844,43.82669448852539,14.063279151916504,53.10504913330078,15.54736328125,8.699999809265137,39.990234375,28.42420196533203,29.538297653198242,19.290000915527344,16.879112243652344,41.79999923706055,15.788331031799316,19.325075149536133,13.938800811767578,34.172122955322266,6.6297101974487305,25.5,34.762760162353516,31.295808792114258,28.344715118408203,37.948638916015625,32.90132141113281,10.855888366699219,31.201282501220703,19.577320098876953,15.76650333404541,14.889581680297852,40.603389739990234,23.150772094726562,6.369999885559082,13.999605178833008,23.53944969177246,27.791330337524414,25.838489532470703,17.52163314819336,67.48925018310547,17.280000686645508,34.591732025146484,41.16853332519531,44.30195236206055,31.679555892944336,40.310001373291016,24.421207427978516,10.542594909667969,41.064083099365234,21.17800521850586,8.341747283935547,48.183231353759766,41.41352462768555,4.610000133514404,18.14447784423828
2019-05-13,16.574678421020508,36.599998474121094,31.257781982421875,45.93708801269531,27.6287841796875,31.33928871154785,24.973026275634766,7.620530128479004,40.68087387084961,29.1429386138916,22.7174129486084,29.979999542236328,36.22946548461914,11.11043930053711,31.925800323486328,11.550564765930176,7.070687770843506,12.96509838104248,9.906867980957031,26.994447708129883,19.546539306640625,43.56232833862305,13.398717880249023,49.02461624145508,15.139415740966797,8.329999923706055,39.774169921875,26.98953628540039,28.820913314819336,18.90999984741211,16.61704444885254,41.40999984741211,15.453197479248047,18.976526260375977,13.603877067565918,34.82985305786133,6.413630962371826,23.709999084472656,34.564117431640625,30.610002517700195,27.91379737854004,37.5426139831543,31.85002899169922,10.666264533996582,30.710302352905273,19.293872833251953,15.170453071594238,14.634232521057129,39.67165756225586,22.346389770507812,6.320000171661377,13.820009231567383,22.82106590270996,26.995941162109375,25.083091735839844,16.948583602905273,66.97369384765625,17.110000610351562,32.95341110229492,40.18291473388672,41.20661926269531,31.221416473388672,38.130001068115234,23.8480281829834,10.261846542358398,41.19349670410156,20.494844436645508,8.094366073608398,46.20563507080078,41.02067565917969,4.730000019073486,17.721141815185547
2019-05-14,16.5064697265625,35.150001525878906,31.509077072143555,45.490726470947266,27.392234802246094,31.24629783630371,25.508163452148438,7.964690208435059,39.74545669555664,29.09395980834961,22.11046028137207,31.260000228881836,37.532752990722656,11.223426818847656,31.629199981689453,11.626681327819824,7.099507808685303,13.112095832824707,9.867239952087402,26.621986389160156,19.78346824645996,43.27837371826172,14.00464153289795,50.6785774230957,15.048757553100586,8.380000114440918,39.26689529418945,28.83664321899414,29.99563217163086,18.93000030517578,16.743223190307617,42.790000915527344,15.591537475585938,19.112071990966797,13.74178695678711,36.3745231628418,6.521670341491699,23.049999237060547,34.57405090332031,29.846925735473633,27.86591911315918,37.23561477661133,32.058319091796875,10.685227394104004,30.56589698791504,20.906583786010742,15.035861015319824,14.830647468566895,39.27936553955078,22.12662696838379,6.489999771118164,14.008585929870605,22.624244689941406,27.005409240722656,25.1799373626709,17.171974182128906,66.97369384765625,17.149999618530273,33.8666877746582,41.225399017333984,41.79666519165039,31.48459815979004,37.45000076293945,24.148714065551758,10.300570487976074,39.82966613769531,20.738828659057617,8.064678192138672,46.36150360107422,41.02067565917969,4.550000190734863,17.730985641479492
2019-05-15,16.18491554260254,34.630001068115234,31.412425994873047,44.74046325683594,27.146228790283203,30.91151237487793,25.195999145507812,7.915520191192627,38.97568130493164,29.20171356201172,21.917776107788086,31.530000686645508,37.49384689331055,11.10102367401123,31.955400466918945,11.464935302734375,7.1187214851379395,12.81810188293457,9.352084159851074,26.35594367980957,19.94141960144043,42.88671112060547,14.00464153289795,49.51981735229492,14.459500312805176,8.270000457763672,39.454776763916016,28.684152603149414,29.94182777404785,18.139999389648438,16.597631454467773,42.849998474121094,15.994867324829102,19.228256225585938,13.712234497070312,37.07211685180664,6.393987655639648,22.65999984741211,34.762760162353516,28.89066505432129,27.511608123779297,36.591915130615234,31.57328987121582,10.666264533996582,30.66216278076172,21.512571334838867,14.891654968261719,14.850258827209473,39.92665481567383,21.474977493286133,6.349999904632568,13.900827407836914,22.299497604370117,26.816028594970703,25.063718795776367,17.715883255004883,65.75418853759766,16.940000534057617,33.88556671142578,40.81787872314453,40.83905029296875,31.260404586791992,36.79999923706055,23.584928512573242,10.319931983947754,39.690303802490234,20.680274963378906,7.866772651672363,46.71221160888672,40.97499084472656,4.300000190734863,17.721141815185547
