Period,Dependente,Independente,Dickey-Fuller,ADF,Beta,HalfLife,Hurst,Corr,Signal,SignalStr,PeriodQt,PeriodStr
250,CPFE3,ENGI11,9.365647006997786e-05,99,0.5648801551782291,5,0.2264335365614037,0.9541112082359436,1.1103463141042087,Long/Short,9,"100,120,140,160,180,200,220,240,250"
250,CYRE3,LREN3,0.010323939528477636,95,0.7914693603507208,5,0.2754113111702424,0.9637272452451972,1.184884068809812,Short/Long,9,"100,120,140,160,180,200,220,240,250"
250,B3SA3,BPAC11,0.04175827342807699,95,0.2813715014872737,8,0.3390606667337959,0.8245824088778816,0.9881697787966977,Short/Long,5,"100,200,220,240,250"
250,IGTA3,USIM5,0.040828994576684,95,4.352774369476567,9,0.2885691162319807,0.9337365406761144,1.5312982692651762,Long/Short,3,"220,240,250"
240,GNDI3,TAEE11,0.027070198925061538,95,4.60066509270087,14,0.3068839885833958,0.7518059219104128,0.9737842209423891,Short/Long,6,"140,160,180,200,220,240"
180,MULT3,QUAL3,0.031236355395117668,95,0.7571074907253492,20,0.3954986998515112,0.8237250220630443,1.0143724259103626,Long/Short,3,"120,160,180"
